
Quadro extraído em 09 de Dezembro de 2025 (18:27:13)
http://www.ine.pt



Localização geográfica (NUTS - 2013);Dissolução de pessoas coletivas e entidades equiparadas (N.º) por Localização geográfica (NUTS - 2013) e Atividade económica (Subclasse - CAE Rev. 3) -  Anual;
;Período de referência dos dados;
;2023;
;Atividade económica (Subclasse - CAE Rev. 3);
;Total;
;N.º ;
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2013)
     Dimensão 3;Atividade económica (Subclasse - CAE Rev. 3)
Conceitos
     PESSOA COLETIVA;Organização constituída por um agrupamento de indivíduos ou por um complexo patrimonial tendo em vista a prossecução de um interesse comum determinado e à qual a ordem jurídica atribui a qualidade de sujeito de direito (personalidade jurídica). Podem ser de direito público ou de direito privado.
     ENTIDADE EQUIPARADA A PESSOA COLETIVA;Para efeitos de inscrição no Ficheiro Central de Pessoas Coletivas, todos os serviços, entidades ou organismos não personalizados cujo registo se revele de interesse, nomeadamente para efeitos de planeamento e gestão.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     ATIVIDADE ECONÓMICA;Resultado da combinação dos fatores produtivos (mão de obra, matérias-primas, equipamento, etc.), com vista à produção de bens e serviços. Independentemente dos fatores produtivos que integram o bem ou serviço produzido, toda a atividade pressupõe, em termos genéricos, uma entrada de produtos (bens ou serviços), um processo de incorporação de valor acrescentado e uma saída (bens ou serviços).
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;24-Jan-2024
