
Quadro extraído em 09 de Dezembro de 2025 (22:07:52)
http://www.ine.pt



Local de residência (NUTS - 2024);Valor processado de subsídios de desemprego da segurança social (?) por Local de residência (NUTS - 2024) e Sexo -  Anual (1) ;
;Período de referência dos dados;
;2023;
;Sexo;
;HM;
;? (milhares);
(1) Inclui beneficiárias/os de subsídio de desemprego, subsídio social de desemprego inicial e subsequente, prolongamento de subsídio social de desemprego e medida extraordinária de apoio aos desempregados de longa duração. O total de Portugal inclui beneficiárias/os com residência não determinada. Os beneficiárias/os são contados tantas vezes quantas os subsídios que recebem.



Última atualização destes dados: 01 de setembro de 2025


Metainformação associada ao quadro

Valor processado de subsídios de desemprego da segurança social (?)
Designação;Valor processado de subsídios de desemprego da segurança social (?) por Local de residência (NUTS - 2024) e Sexo -  Anual
Periodicidade;Anual
Fonte;Instituto de Informática
Primeiro período disponível;2023
Último período disponível;2024
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (NUTS - 2024)
     Dimensão 3;Sexo
Conceitos
     SUBSÍDIO DE DESEMPREGO;Prestação pecuniária concedida aos trabalhadores que reúnam, na generalidade, as seguintes condições: terem sido trabalhadores por conta de outrem, durante, pelo menos, 540 dias de trabalho com o correspondente registo de remuneração num período de 24 meses imediatamente anterior à data de desemprego; tenham capacidade e disponibilidade para o trabalho; estejam em situação de desemprego involuntário; estejam inscritos nos centros de emprego; contribuam sobre salários reais.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     BENEFICIÁRIO;Pessoa inscrita como titular do direito a proteção social no âmbito dos Regimes da Segurança Social, contributivos e não contributivos.
     SEXO;Características biológicas e fisiológicas que definem homens e mulheres.
Definição;
Fórmula;
Unidade de Medida (símbolo);Euro (?)
Potência de 10;3
Observações;SEGURANÇA SOCIAL Conjunto de sistemas e subsistemas de direito exercido nos termos estabelecidos na Constituição, nos instrumentos internacionais aplicáveis e na Lei de Bases da Segurança Social.
Data da última atualização;01-Sep-2025
